Assuming rdf:type as type relation
Loading files... 
  Starting test.ttl
  Finished test.ttl, still running: 0
Loaded 2898 facts in 0 s using 0 MB
Using HeadCoverage as pruning metric with minimum threshold 0.01
Using recursivity limit 3
Lazy mining assistant that stops counting when the denominator gets too high
Filtering on standard confidence with minimum threshold 0.1
Filtering on PCA confidence with minimum threshold 0.05
Constants in the arguments of relations are enabled
Lossless (query refinement) heuristics enabled
MRT calls: 0
Starting the mining phase... Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable
Using 16 threads
?a  p9:argument2  p7:fp   => ?a  p2:type  p9:IndividualPropertyAtom	0.033653846	1	1	28	28	28	?a
?a  p9:argument2  p7:LLC   => ?a  p2:type  p9:IndividualPropertyAtom	0.016826923	1	1	14	14	14	?a
?a  p9:propertyPredicate  p3:hasTime   => ?a  p2:type  p9:IndividualPropertyAtom	0.026442308	1	1	22	22	22	?a
?a  p9:propertyPredicate  p7:aPourFacteurPronostic   => ?a  p2:type  p9:IndividualPropertyAtom	0.016826923	1	1	14	14	14	?a
?a  p6:subClassOf  p7:Monotherapie   => ?a  p2:type  p1:Class	0.012019231	1	1	10	10	10	?a
?a  p6:subClassOf  p7:Traitement   => ?a  p2:type  p1:Class	0.010817308	1	1	9	9	9	?a
?a  p6:subClassOf  p7:StatutCytogenetique   => ?a  p2:type  p1:Class	0.018028846	1	1	15	15	15	?a
?a  p9:argument2  p7:t2   => ?a  p2:type  p9:IndividualPropertyAtom	0.016826923	0.933333333	0.933333333	14	15	15	?a
?a  p9:propertyPredicate  p7:aPourMaladie   => ?a  p2:type  p9:IndividualPropertyAtom	0.018028846	1	1	15	15	15	?a
?a  p9:argument2  p7:t1   => ?a  p2:type  p9:IndividualPropertyAtom	0.016826923	0.933333333	0.933333333	14	15	15	?a
?a  p9:propertyPredicate  p7:aPourFacteurMauvaisPronostic   => ?a  p2:type  p9:IndividualPropertyAtom	0.010817308	1	1	9	9	9	?a
?a  p9:argument1  p7:p   => ?a  p2:type  p9:IndividualPropertyAtom	0.078125	0.619047619	0.619047619	65	105	105	?a
?a  p2:type  p9:ClassAtom   => ?a  p9:argument1  p7:p	0.162650602	1	1	27	27	27	?a
?a  p9:argument2  "POS"   => ?a  p9:argument1  p7:p	0.030120482	1	1	5	5	5	?a
?a  p9:argument2  p7:st   => ?a  p9:argument1  p7:p	0.012048193	1	1	2	2	2	?a
?a  p9:argument2  p7:pre2   => ?a  p9:argument1  p7:p	0.012048193	1	1	2	2	2	?a
?a  p9:argument2  p7:a   => ?a  p9:argument1  p7:p	0.012048193	1	1	2	2	2	?a
?a  p9:argument2  p7:fp   => ?a  p9:argument1  p7:p	0.168674699	1	1	28	28	28	?a
?a  p9:argument2  p7:LLC   => ?a  p9:argument1  p7:p	0.084337349	1	1	14	14	14	?a
?a  p2:type  p9:DatavaluedPropertyAtom   => ?a  p9:argument1  p7:p	0.078313253	0.565217391	0.565217391	13	23	23	?a
?a  p9:argument2  "M"   => ?a  p9:argument1  p7:p	0.018072289	1	1	3	3	3	?a
?a  p9:argument2  p7:pre1   => ?a  p9:argument1  p7:p	0.012048193	1	1	2	2	2	?a
?a  p9:argument2  p7:st2   => ?a  p9:argument1  p7:p	0.012048193	0.666666667	0.666666667	2	3	3	?a
?a  p9:argument2  p7:s   => ?a  p9:argument1  p7:p	0.018072289	1	1	3	3	3	?a
?a  p9:propertyPredicate  p7:aPourTraitement   => ?a  p9:argument1  p7:p	0.024096386	1	1	4	4	4	?a
?a  p9:argument2  p7:p2   => ?a  p9:argument1  p7:p	0.012048193	0.666666667	0.666666667	2	3	3	?a
?a  p9:propertyPredicate  p7:aPourSigneClinique   => ?a  p9:argument1  p7:p	0.024096386	1	1	4	4	4	?a
?a  p9:propertyPredicate  p7:aPourFacteurBonPronostic   => ?a  p9:argument1  p7:p	0.030120482	1	1	5	5	5	?a
?a  p9:propertyPredicate  p7:aPourFacteurPronostic   => ?a  p9:argument1  p7:p	0.084337349	1	1	14	14	14	?a
?a  p9:propertyPredicate  p7:age   => ?a  p9:argument1  p7:p	0.012048193	1	1	2	2	2	?a
?a  p2:type  p9:IndividualPropertyAtom   => ?a  p9:argument1  p7:p	0.391566265	0.560344828	0.560344828	65	116	116	?a
